label,DsiD,Dsnx,DsSW,DsUb,DshF,DsgK,DsVy,DsgR,Dsju,DscM
cluster+AF8-address+AF8-count,1109,19,3337,2,3168,760,845,1304,2084,874
transactions,54928,39643,49266,1987,137185,2182,3726,17817,23301,16067
first+AF8-tx,2019+AC0-01+AC0-02 13:08:18,2019+AC0-07+AC0-20 12:13:01,2018+AC0-03+AC0-05 08:32:33,2018+AC0-05+AC0-09 12:24:59,2018+AC0-05+AC0-16 09:10:02,2018+AC0-12+AC0-01 02:34:00,2019+AC0-02+AC0-25 07:39:00,2018+AC0-09+AC0-28 12:24:41,2019+AC0-03+AC0-02 18:29:39,2018+AC0-09+AC0-26 11:33:41
last+AF8-tx,2021+AC0-01+AC0-09 21:59:13,2021+AC0-01+AC0-09 21:45:39,2021+AC0-01+AC0-09 19:10:40,2021+AC0-01+AC0-09 01:37:08,2021+AC0-01+AC0-09 21:45:39,2020+AC0-04+AC0-15 11:14:48,2021+AC0-01+AC0-09 03:15:39,2021+AC0-01+AC0-09 19:35:30,2021+AC0-01+AC0-09 21:58:25,2021+AC0-01+AC0-09 04:05:26
pow+AF8-hop0,488802.91807524,347626.82792268,519880.98846996,0,73014.84963746,0,0,112227.12866917,201669.66452286,159915.29580411
pow+AF8-hop1,6487.28770665796,4393.73631189384,40817.8872229146,526342.235081775,291982.029782227,201472.655499916,190696.463493561,141152.518452055,9146.47306420091,6163.74359437886
pow+AF8-hop2,119.32268602015,485.362020482757,32399.7311937084,39664.0329766306,471104.153120638,146226.781403411,37087.2377048399,198639.698791613,430.387230314041,2714.72784295878
blocks+AF8-mined,53766,38923,45960,0,8247,0,0,10877,21187,15140
maxbalance,6573.88078908,4919.01649251,13670.31809715,1615.61617345,289548.92370795,8250.18272714,3829.3854482,62592.65358853,4266.63201732,17421.33981517
total+AF8-in+AF8-not+AF8-pow,5278.44548232,118787.86978701,38312.8911935,661155.87498336,13602470.6717559,698999.52248599,247332.01784814,2626174.34346062,34.51259811,28944.07306979
dcr+AF8-staked,0,0,846307.0359496,0,0,0,0,0,0,27581.4768304
tickets,0,0,622,0,0,0,0,0,0,22
staking+AF8-income,0,0,587.02419153,0,0,0,0,0,0,21.57025368
votes,0,0,618,0,0,0,0,0,0,21
eligible+AF8-proposals,0,0,1467,0,0,0,0,0,0,54
proposal+AF8-votes,0,0,0,0,0,0,0,0,0,0
yes+AF8-votes,0,0,0,0,0,0,0,0,0,0
no+AF8-votes,0,0,0,0,0,0,0,0,0,0
contrary+AF8-votes,0,0,0,0,0,0,0,0,0,0
agenda+AF8-eligible,0,0,618,0,0,0,0,0,0,21
agenda+AF8-yes,0,0,618,0,0,0,0,0,0,21
agenda+AF8-no,0,0,0,0,0,0,0,0,0,0
dcr+AF8-mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
to+AF8-binance,114.6936362,1216.43768337,44861.1836671,71500.37729076,832299.64462136,0,33043.20657038,130832.71537083,0,11175.93465711
to+AF8-bittrex,98.65456296,0,34434.88514938,2543.4779432,348437.53859333,0,143.59756099,2360.63310245,0,1657.2625905
to+AF8-poloniex,40.10091568,0,19174.41999277,1636.74170974,99224.39838695,0,231.50077396,6.33034771,0,443.70869648
airdrop+AF8-hop0,0,0,0,0,0,0,0,0,0,0
airdrop+AF8-hop1,0,0,0,0,174,0,0,0,0,0
airdrop+AF8-hop2,0,0,0,0,147.198780009686,0,0,0,0,0
founders+AF8-hop0,0,0,0,0,0,0,0,0,0,0
founders+AF8-hop1,0,0,0,0,0,0,0,0,0,0
founders+AF8-hop2,0,0,0,0,0,0,0,0,0,0
treasury+AF8-hop0,0,0,0,0,0,0,0,0,0,0
treasury+AF8-hop1,0,0,0,0,1132.00755691464,0,0,0,0,0
treasury+AF8-hop2,0,0.196167169291414,0,0,678.827624698592,0,0,10,0,0
output+AF8-addresses,189,32,4394,1377,3166,87,1044,944,32,809
output+AF8-rows,5134,615,285092,116410,13466,1362,23180,1592,2142,76242
address+AF8-table+AF8-rows,109525,78930,99013,3942,507403,4204,5921,43642,46332,32094
